id,is_deleted,master_record_id,name,type,record_type_id,parent_id,billingaddress,billingcity,billingcountry,billingcountrycode,billinggeocodeaccuracy,billinglatitude,billinglongitude,billingphonenumber,billingpostalcode,billingstate,billingstatecode,billingstreet,billing_geocode_accuracy,shippingaddress,shippingcity,shippingcountry,shippingcountrycode,shippinggeocodeaccuracy,shippinglatitude,shippinglongitude,shippingphonenumber,shippingpostalcode,shippingstate,shippingstatecode,shippingstreet,shipping_geocode_accuracy,phone,website,photo_url,industry,number_of_employees,description,owner_id,created_date,created_by_id,last_modified_date,last_modified_by_id,system_modstamp,last_activity_date,last_viewed_date,last_referenced_date,jigsaw,jigsaw_company_id,account_source,ownership,annual_revenue,account_number
b9c6039c-0d9b-4d92-971f-8683c2fe49ea,True,c0953e99-e32a-4e8f-9663-2eb413408b4b,"Brady, Luna and Cummings",channel partner / reseller,2175aebc-700a-42b8-a519-bdbf446a6ca2,ae014036-a8d9-4b55-81a6-ce0ad0af9e64,"12218 Renee Spring Suite 939
North Debra, TX 84516",Michaelfort,Bangladesh,AM,nearaddress,57.8389905,27.685677,5463744731,73357,Oklahoma,SD,8419 Nicholas Parkways Suite 479,county,"756 April Mews
East Jennifer, AL 11517",Scottborough,Hungary,AT,block,22.139246,-161.862591,(476)208-7502,55169,Minnesota,KY,562 John Views Apt. 644,nearaddress,+1-220-368-5798x7616,http://moore-lin.com/,https://placekitten.com/17/572,electronics,8801,"Citizen industry party onto. Coach play star interest sit behind. Something fast voice not provide individual.
Term newspaper part another. Order politics bill have art.
Officer such early identify.",03ae8346-c135-415e-8959-e43ca7d6285a,2024-03-20,edd374ec-a001-489c-bc96-13a7d917a7e2,2024-04-27T01:27:02.465745,5cca62bf-8b3a-49a9-89af-303a0a3aa0db,2023-09-12T19:05:24.296358,2024-06-17T14:08:03.889381,2024-06-20T09:31:53.204206,2024-06-11T11:12:26.687913,434795,121495,phone inquiry,private,6056190.43,876141
9bc366b8-9510-4629-b4d8-a04ad81004f6,True,e0df39c0-c2f7-4cd7-b73c-7d3a324addca,"Chavez, Evans and Gomez",channel partner / reseller,198b427c-1182-48c1-afb3-3813639acf8c,44ced970-bb96-48ea-b0cb-b9f4753ec572,"365 Lisa Mills
Amyland, OK 97115",North Hannah,British Virgin Islands,RW,extendedzip,69.941154,25.773816,8267069482,98503,Florida,ND,7925 Christy Pike,block,"054 Scott Parkway Suite 273
Lake David, SC 95035",Jamesburgh,Mayotte,TO,address,-88.3791555,-71.783712,257.791.1415,88701,New Jersey,ID,350 Greg Wall,state,001-805-731-3568x9323,http://garrett.com/,https://picsum.photos/418/217,recreation,4962,Mr story beat writer country loss beautiful southern. Ahead black on grow occur.,bdc04335-a03e-42b7-ac92-197c52447d9d,2023-10-18,171a1181-c7bd-4a9c-96a7-b6cb2205fe33,2024-05-09T11:20:37.539893,73be0332-ecdb-4de7-ba1d-b8335070f60b,2020-04-24T04:11:39.581698,2024-06-15T15:19:49.370360,2024-06-10T08:43:41.481318,2024-06-04T04:46:36.181335,984330,955215,web,private,4900013.77,921247
e99aae92-58f8-4e87-9540-cc4a216d6a30,False,1f8791af-7cc9-49a2-ba05-c3d4e78f5089,"Cox, Peterson and Williams",channel partner / reseller,3facbf5d-9e51-4f7d-a524-da8676c37fb9,18f65624-e7ee-4c88-bcc0-80b10bbbf9d6,"Unit 3367 Box 1151
DPO AA 73454",Port Johnny,Panama,UA,nearaddress,-77.042172,-108.051007,001-920-315-7185x42568,41974,Iowa,MD,97948 Gregory Meadow Suite 347,street,"USNV Johnson
FPO AP 89113",West Anthony,Brazil,CO,zip,74.019475,-25.634870,(716)250-1704,13876,Oregon,ME,973 Sandoval Crossing,extendedzip,3282238545,http://franklin-schultz.com/,https://picsum.photos/174/118,engineering,180,"Skill quickly perform visit. What final child lose. Woman especially grow modern dark price air.
Technology item cold war. Together bank race without threat star. Pattern threat establish.",b0b8453f-be5b-47c4-833c-4f1d52051239,2024-04-05,40b11a7e-30c9-4bb4-8e11-ba98ce71d21f,2024-05-15T08:53:26.870256,4b59c1e0-3448-4dcd-9727-c959e8811516,2020-07-15T23:28:47.864248,2024-06-15T10:37:20.752549,2024-06-15T23:46:14.078063,2024-06-09T16:13:38.051737,898054,728433,other,public,8923506.94,119809
2afbc1a4-21a1-4f93-aa94-cd64f27f7e31,True,6053f86a-204d-4e36-8a35-ed2b46d24cdb,Hunt LLC,other,8744fefc-4c9b-4529-8e30-ce7d980b3795,634a2942-dabe-4245-ab7d-f2481bcb7962,"74694 James Shore Suite 459
Port Annatown, WY 31884",Port Jessicafort,Kiribati,NL,country,38.2563865,-114.538649,(902)341-2436x8672,11092,Minnesota,VA,567 Christina Oval,county,"PSC 4900, Box 6626
APO AA 22518",Robertoside,Barbados,DO,extendedzip,-44.7197995,31.110371,(601)465-5979x528,11397,Texas,NM,85196 Michael Parkway,street,+1-405-464-1415,https://www.jenkins.com/,https://picsum.photos/355/775,entertainment,9975,General expert degree send throughout. Become go space wife sometimes. Us feel face evening production whom involve. Successful attack structure also.,6c35f435-9104-49b0-9d8f-66958c164d0a,2024-02-13,5036a5e9-c667-47d5-8dd4-380b67109bd5,2024-04-15T22:23:44.738763,241af339-eae6-459b-a8fb-ba7bf041b2cf,2024-04-03T20:32:47.952697,2024-06-04T06:53:22.499510,2024-06-12T04:06:59.371067,2024-06-09T23:49:13.314044,285721,588610,web,subsidiary,1883389.72,597211
e209a3fb-9896-43b4-92d4-59fc5f0cff4d,False,12ca8285-367f-401d-a99a-b8ff05db1fa8,Carey LLC,customer - channel,eb6290d7-8e1c-4f8e-8775-27a955c468fb,160e7746-22ad-4a52-8b0f-5046317dc10b,"5070 Hickman Ridge Apt. 853
Taylorton, WY 91901",East Robert,Mauritania,KH,address,63.156599,2.999898,838.391.4611x3094,28540,Kansas,MT,156 Nichols Drives Suite 417,city,"24836 Brian Path
West Jennifer, AL 00678",Walkermouth,Equatorial Guinea,TG,county,6.423308,71.270151,218.303.4651x6050,65559,South Carolina,MP,0200 Timothy Islands,address,684.323.3262,http://www.gonzalez.com/,https://picsum.photos/202/647,not for profit,3963,"Million morning back front. Current road area later grow billion leader song.
It that hit health serious light can. And weight participant behind.",4bd4091c-0113-4509-832d-8694a67544c6,2023-12-29,4d88b4c8-d540-4417-aa12-a7c21fd8a7e2,2024-01-12T06:16:55.294087,c89a016e-799f-4b19-90ad-3857c18f3de6,2020-11-18T17:19:16.323986,2024-06-17T09:46:00.477523,2024-06-14T15:04:22.573187,2024-06-06T20:25:58.368497,400258,284551,partner referral,other,2463159.56,925945
a57d7c55-18b5-4d49-ae7e-da13b844a974,False,2b741ab6-5637-473d-b114-d50c56112173,Aguilar and Sons,channel partner / reseller,76a48b8c-f80d-4649-a783-e7c6d2feb090,1b6a6ef2-0dd2-4a97-aa6c-e634e17e5e12,"08613 Johnson Station
New Stevenview, HI 66852",North Nichole,Saudi Arabia,SO,state,33.758124,152.274571,+1-613-313-0196x64602,36730,Virginia,IA,43262 Melissa Lake,state,"5146 Perez Street Suite 874
Martinezfort, SC 12377",Coleland,Myanmar,MT,zip,71.821225,101.564798,423.577.4896,10522,Indiana,VI,3224 Velez Causeway Suite 731,street,584.274.0785x2216,http://www.lane.com/,https://picsum.photos/669/161,recreation,4572,Sound clear together discover study mouth human rate. Guess work friend hand. Lay performance dog believe.,246e203a-3526-4252-8e4c-d57e2fd33712,2023-02-13,2d2e1c36-f44b-4848-9503-7cf946c3c28e,2023-06-10T08:36:16.971776,cb1daa19-7fb6-41aa-ab41-d4c9570aa4c7,2021-02-22T15:54:30.091387,2024-06-05T19:55:18.518298,2024-06-03T07:26:00.749738,2024-06-12T09:32:52.734580,253222,414464,purchased list,public,4169613.56,449882
8aeec381-ba77-4fc6-a700-aad76f1e7bbe,False,3cc63bb3-d0d3-4d7d-abc6-d57caa297a32,Roberts-Walton,channel partner / reseller,78a4de07-64d3-41cb-b0fe-1e0655d0c5d5,2922de48-10e6-4007-8ad2-5cccdc02d2f0,"61577 Sandra Meadow Suite 991
South Rebeccastad, SC 54748",Lake Amber,Seychelles,RW,address,11.284145,-133.025025,001-920-780-9690x6280,67778,Vermont,IA,4621 Johnson Pike Apt. 560,block,"794 Armstrong Bridge
North Krista, GA 16912",Bradfordport,United States Minor Outlying Islands,SO,state,46.015233,-28.298637,517-619-7451x0261,79753,Kentucky,NM,406 Wilcox Mall,country,001-278-864-1844x616,http://payne.org/,https://placekitten.com/629/851,consulting,8750,"Gas arm candidate you technology perhaps. Nation hospital hit here option. Many recent series but morning clearly security.
Option million field by financial.",78a7efa7-354c-4859-af42-a81e11aff81e,2024-02-06,d44efb56-c1f0-4709-8a97-89ace4a5e48e,2024-02-08T00:09:04.056085,3b6b6a2e-9201-4011-b0d9-1dffb6a9e901,2023-10-05T07:14:49.749488,2024-06-13T00:51:44.745430,2024-06-15T13:23:49.709286,2024-06-07T04:59:20.479842,352664,570645,partner referral,subsidiary,7009701.9,328175
ef429ea6-c079-49b2-ae3e-cabef7370f69,True,336f1f2a-5582-47dc-a66d-576ed811dc33,Villegas-Reyes,customer - channel,fe3740f9-fa17-4cb7-b2cc-4c1d955825f7,d56acd79-e6cb-429d-881f-a86c3bffc96b,"91680 Williams River Suite 437
Brownville, DC 12478",East Wendyton,Guatemala,CY,county,-81.1122285,-54.832341,4824794391,23525,Missouri,VT,1025 Martin Creek Apt. 145,block,"841 Riddle Stream Suite 538
South Sandrastad, SC 15961",Brownberg,French Southern Territories,CO,block,-38.501796,-76.528372,+1-861-328-5743x16776,66698,Kentucky,AK,95357 Tammy Course,extendedzip,8165210225,http://thomas.com/,https://picsum.photos/175/32,entertainment,1517,"Clearly air will social. Exist west leave concern fish let kitchen.
That debate evening. Drop always wait growth card.",aaf98378-7956-46ea-ad6c-d3d23dc72f84,2023-08-30,08086205-265d-4bfc-8a29-0a7b4921d13e,2023-10-19T13:54:31.931047,f8114e4e-60cf-47b1-abc8-d80bf98692b1,2021-12-27T15:34:56.303501,2024-06-10T09:46:49.829412,2024-06-13T05:23:56.512432,2024-06-20T18:04:27.006949,906358,634081,web,other,2601369.56,879911
670997c8-e16b-4220-92bc-e9150cca2bdf,False,fc2ad5b9-3c6a-4114-abdc-55be04dc2e5f,"French, Allen and Shaw",channel partner / reseller,f7d7d2d6-004c-4591-80ab-95935102b38e,8324293a-f089-42f9-bc38-7d7a9f0084b1,"Unit 3451 Box 4188
DPO AP 97915",Whitneybury,Jordan,SC,zip,-20.1389935,-61.343857,(783)281-2369x9093,46388,Missouri,CT,4715 Davila Mall,country,"3325 Mccall Mission
Erictown, MT 34933",Thomaschester,Central African Republic,PA,street,57.2191945,91.062079,001-532-886-4697x9940,69967,Missouri,IA,815 Johnson Tunnel Suite 763,state,5066436866,https://beasley.com/,https://picsum.photos/659/274,machinery,9435,"Practice foot material instead decision.
Case challenge person against note walk work. Race throw five dream own some behavior.",4acea7da-43af-49df-9699-4a50ea813ddb,2023-05-14,0b59f40e-3b24-4ac1-a425-b318602e492e,2024-02-01T06:02:56.055232,dac7a903-699e-4779-93a9-cd0d4eccf22d,2023-08-08T05:37:55.118944,2024-06-14T12:25:08.844015,2024-06-07T20:59:15.911007,2024-06-06T16:39:16.025431,815253,110773,web,public,9339124.21,887355
7a4aee5a-9247-4394-8247-1237abf251ed,True,2baabec8-0071-413a-abe6-5ff4d1a9581f,Mcguire-Richards,customer - channel,81a21156-1e22-422b-a3f6-a07fcbdd6f30,c670317b-fbae-4ba8-8545-de4c854f6516,"41920 Gabriella Ports
Toddbury, RI 24807",Johnberg,Wallis and Futuna,SB,country,75.4857095,-169.477756,(246)550-7873x86790,22852,Mississippi,GU,670 Valenzuela Motorway Apt. 363,city,"120 Cynthia Center Suite 332
Lewisfurt, DE 80075",New Abigail,Sudan,SO,block,11.179468,-153.755282,001-254-473-3872x218,89990,Nevada,LA,31551 Coffey Point Suite 190,extendedzip,001-539-208-7744x211,http://www.hill.com/,https://placekitten.com/813/967,food & beverage,7226,Really race dark family military cut writer truth. Push rate particularly never. Style conference head black bed science nature.,aaf64646-4c30-4158-a4aa-8f8c170d757c,2023-08-21,5428de3b-1a9f-4aeb-ac96-08867d813cc6,2023-09-25T04:51:17.347569,fa4d1b03-8770-47d5-897a-cb307c927d7b,2023-04-24T20:15:22.334585,2024-06-02T20:03:06.427981,2024-06-16T10:14:22.151651,2024-06-12T13:47:25.920083,239676,446140,other,other,9268153.21,957463
